geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US37010,"37010",4966,647,4803,638,4502,664,245,170,2,9,27,42,0,12,0,12,27,36,0,12,27,36,163,215,90,144,0,12,0,12,0,12,20,75,0,12,53,65,0,12,53,65
86000US37012,"37012",2185,338,2134,321,2050,321,73,75,0,12,3,5,0,12,0,12,8,13,0,12,8,13,51,75,47,75,0,12,0,12,0,12,0,12,0,12,4,9,0,12,4,9
86000US37013,"37013",97939,2456,81131,2548,40080,1792,33280,2118,95,73,4250,818,0,29,374,277,3052,844,290,230,2762,782,16808,1394,13242,1645,446,333,48,80,0,29,0,29,2464,757,608,315,357,221,251,222
86000US37014,"37014",2835,382,2783,376,2682,374,18,28,0,12,47,71,0,12,0,12,36,43,0,12,36,43,52,48,40,47,0,12,0,12,0,12,0,12,0,12,12,19,12,19,0,12
86000US37015,"37015",17665,734,16768,740,15842,746,304,115,147,135,107,75,0,19,5,9,363,163,0,19,363,163,897,118,635,170,0,19,2,5,0,19,0,19,221,114,39,39,37,39,2,4
86000US37016,"37016",950,273,944,272,939,272,0,12,0,12,0,12,2,4,0,12,3,11,0,12,3,11,6,11,1,4,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12
86000US37020,"37020",5984,762,5824,736,5137,695,222,200,99,89,58,55,0,17,5,6,303,159,192,130,111,88,160,95,62,69,0,17,0,17,0,17,0,17,98,55,0,17,0,17,0,17
86000US37022,"37022",6583,798,6286,770,5968,754,173,157,32,30,12,20,0,17,0,17,101,86,0,17,101,86,297,282,139,163,0,17,0,17,0,17,0,17,59,94,99,118,99,118,0,17
86000US37025,"37025",5698,866,5698,866,5526,871,24,48,0,17,63,55,0,17,0,17,85,109,0,17,85,109,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
86000US37026,"37026",2380,322,2165,323,2152,324,0,12,0,12,0,12,0,12,0,12,13,23,0,12,13,23,215,111,152,133,0,12,0,12,0,12,0,12,63,73,0,12,0,12,0,12
86000US37027,"37027",56117,765,53783,824,47000,837,1889,719,37,46,3712,433,0,29,76,59,1069,391,10,17,1059,390,2334,402,1954,421,42,50,27,39,0,29,0,29,245,157,66,84,58,82,8,13
86000US37029,"37029",7017,639,6825,617,6663,616,58,67,0,17,8,14,0,17,0,17,96,68,0,17,96,68,192,146,173,139,0,17,0,17,0,17,0,17,19,31,0,17,0,17,0,17
86000US37030,"37030",7260,612,6908,599,6558,597,230,92,31,38,0,17,0,17,0,17,89,50,12,13,77,47,352,134,38,50,167,194,0,17,0,17,0,17,113,117,34,54,34,54,0,17
86000US37031,"37031",4281,506,4197,505,3872,500,233,169,0,12,1,2,19,31,0,12,72,83,0,12,72,83,84,71,11,18,0,12,0,12,0,12,0,12,30,27,43,49,43,49,0,12
86000US37032,"37032",5275,762,5193,742,4977,706,163,108,0,17,10,19,0,17,0,17,43,51,0,17,43,51,82,94,52,66,26,47,0,17,0,17,0,17,2,3,2,4,2,4,0,17
86000US37035,"37035",3214,463,3149,458,3013,451,48,44,26,41,29,46,0,12,0,12,33,53,0,12,33,53,65,65,5,10,0,12,0,12,0,12,0,12,60,67,0,12,0,12,0,12
86000US37036,"37036",6245,721,6177,729,5660,705,357,175,0,17,0,17,0,17,0,17,160,110,26,43,134,99,68,60,68,60,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
86000US37037,"37037",8768,972,8598,988,7885,850,482,290,0,17,9,14,0,17,0,17,222,255,0,17,222,255,170,236,158,234,0,17,0,17,0,17,0,17,0,17,12,18,12,18,0,17
86000US37043,"37043",48501,1447,46518,1442,38893,1305,4858,573,173,83,1029,370,51,72,126,131,1388,444,12,19,1376,445,1983,402,1455,354,135,133,38,39,12,21,0,26,189,103,154,103,18,30,136,94
86000US37046,"37046",5685,603,5506,607,5168,606,174,195,37,57,26,43,0,17,0,17,101,101,0,17,101,101,179,169,159,167,0,17,0,17,0,17,0,17,20,32,0,17,0,17,0,17
86000US37048,"37048",6702,498,6651,497,6448,492,63,61,13,20,19,23,0,17,18,21,90,69,0,17,90,69,51,45,41,42,0,17,0,17,0,17,0,17,10,15,0,17,0,17,0,17
86000US37049,"37049",3622,406,3525,393,3374,383,67,60,0,12,4,5,0,12,48,60,32,36,0,12,32,36,97,88,62,45,7,12,0,12,0,12,0,12,0,12,28,36,28,36,0,12
86000US37051,"37051",3499,550,3416,528,3262,499,99,127,0,12,14,24,0,12,0,12,41,47,0,12,41,47,83,64,83,64,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37055,"37055",27772,952,26272,960,23607,942,1598,334,213,74,256,71,0,23,58,70,540,238,0,23,540,238,1500,188,1335,260,17,25,0,23,0,23,0,23,75,66,73,78,13,19,60,76
86000US37057,"37057",627,201,627,201,603,199,1,3,23,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37060,"37060",2767,390,2683,375,2638,374,33,27,0,12,0,12,0,12,0,12,12,16,0,12,12,16,84,93,84,93,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37062,"37062",12185,604,11713,631,11058,629,362,185,66,98,23,26,0,19,0,19,204,126,0,19,204,126,472,276,370,277,0,19,0,19,0,19,0,19,46,50,56,89,56,89,0,19
86000US37064,"37064",58937,1179,54473,1255,48184,1319,4239,547,8,17,1224,363,0,29,100,116,718,256,49,52,669,255,4464,553,3995,547,0,29,6,10,26,40,0,29,247,133,190,174,130,161,60,67
86000US37066,"37066",51873,1136,48304,1168,39289,1126,6440,546,69,53,1034,346,19,28,44,44,1409,435,92,101,1317,426,3569,578,2182,522,88,87,0,29,0,29,0,29,1126,508,173,156,15,22,158,155
86000US37067,"37067",29543,1010,28420,1041,22724,1065,1154,391,0,23,3651,600,0,23,0,23,891,315,159,133,732,291,1123,353,899,314,0,23,29,47,0,23,0,23,166,157,29,35,29,35,0,23
86000US37069,"37069",20467,824,20173,831,18786,813,505,205,0,23,340,117,12,25,0,23,530,220,0,23,530,220,294,126,264,122,0,23,0,23,0,23,0,23,20,24,10,11,5,8,5,8
86000US37072,"37072",31492,763,29599,749,23763,1037,4300,755,80,106,631,328,0,26,244,326,581,199,0,26,581,199,1893,509,968,365,14,28,19,29,0,26,41,61,822,372,29,35,18,29,11,19
86000US37073,"37073",14785,692,14221,650,13298,689,398,166,12,19,99,92,0,19,19,23,395,146,0,19,395,146,564,268,357,256,0,19,0,19,0,19,0,19,40,57,167,151,70,99,97,125
86000US37074,"37074",9305,600,9195,590,7795,593,901,207,54,50,99,125,0,17,0,17,346,175,0,17,346,175,110,85,80,79,0,17,0,17,0,17,0,17,30,33,0,17,0,17,0,17
86000US37075,"37075",65986,866,63394,982,56016,1089,4982,605,164,79,1109,342,33,42,153,214,937,307,58,74,879,287,2592,462,1662,402,35,35,3,6,0,29,43,70,661,258,188,158,31,47,157,151
86000US37076,"37076",40161,1183,37093,1285,26303,1167,8626,956,79,72,1203,474,0,26,89,163,793,275,18,28,775,274,3068,852,2199,674,121,126,9,16,6,10,0,26,704,521,29,32,16,26,13,19
86000US37080,"37080",7394,587,7346,593,6931,569,142,92,0,17,24,26,3,11,113,181,133,81,22,33,111,76,48,40,40,37,0,17,0,17,0,17,0,17,8,12,0,17,0,17,0,17
86000US37082,"37082",6073,431,6020,439,5807,424,81,44,0,17,0,17,0,17,7,10,125,64,4,8,121,65,53,39,34,27,0,17,0,17,0,17,0,17,7,7,12,19,12,19,0,17
86000US37083,"37083",15290,600,14723,580,14238,579,29,38,69,76,28,43,0,19,0,19,359,157,0,19,359,157,567,267,421,238,0,19,0,19,0,19,0,19,87,87,59,105,0,19,59,105
86000US37085,"37085",4856,609,4660,638,4290,642,199,80,64,85,0,12,0,12,7,13,100,123,0,12,100,123,196,255,196,255,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37086,"37086",34429,387,27836,796,17565,1068,7780,802,81,104,1006,430,54,78,124,125,1226,421,11,18,1215,422,6593,800,4261,805,79,123,54,84,35,39,0,26,2037,912,127,128,107,124,20,34
86000US37087,"37087",48562,1169,46144,1200,39141,1171,5096,726,184,154,839,350,0,26,20,26,864,267,15,24,849,267,2418,520,1763,519,22,35,17,21,17,28,0,26,547,343,52,71,9,17,43,69
86000US37090,"37090",15266,891,14888,932,14226,920,533,289,0,19,45,68,0,19,0,19,84,77,25,38,59,49,378,215,200,136,0,19,0,19,0,19,0,19,149,152,29,48,29,48,0,19
86000US37091,"37091",22440,616,20804,615,18090,635,2263,170,0,23,80,42,0,23,213,161,158,92,0,23,158,92,1636,99,1501,155,0,23,9,15,0,23,0,23,98,93,28,50,28,50,0,23
86000US37095,"37095",2685,576,2597,577,2525,586,51,59,0,12,0,12,0,12,0,12,21,28,0,12,21,28,88,84,33,37,23,35,0,12,23,34,0,12,4,7,5,9,5,9,0,12
86000US37110,"37110",33483,746,30590,715,28645,728,645,143,76,46,232,71,82,125,18,29,892,208,0,26,892,208,2893,433,1796,483,24,35,0,26,0,26,0,26,960,353,113,97,85,77,28,46
86000US37115,"37115",40343,1599,32987,1282,16611,884,14469,1230,208,168,538,363,11,20,296,297,854,296,0,26,854,296,7356,1068,3672,916,16,18,28,45,0,26,0,26,3569,900,71,54,53,47,18,21
